time.mean.speed,space.mean.speed
66.04,59.05
49.55,40.79
79.37,78.98
64.65,60.41
82.72,80.96
36.81,31.35
58.62,53.17
84.78,83.78
54.77,51.7
75.58,74.87
68.81,65.34
41.28,36.12
62.53,60.33
17.26,6.82
60.52,57.55
85.68,79.67
87.82,82.77
62.32,59.26
80.77,78.49
53.51,44.67
74.49,70.14
60.5,61.65
46.61,44.26
63.83,60.07
64.07,60.16
27.16,19.27
44.71,38.19
62.11,57.55
64.25,60.23
88.34,84.83
58.64,58.36
81.25,81.5
50.95,42.6
57.06,53.9
63.71,65.34
74.73,71.41
57.94,52.86
47.04,46.24
36.29,30.1
79.1,75.06
86.93,82.95
52.51,44.24
76.44,73.28
42.31,38.56
64.72,63.51
63.46,60.87
40.76,39.01
55.75,51.74
51.49,47.79
71.35,69.24
54.46,51.72
39.16,32.12
75.48,72.87
53.23,49.19
48.25,42.08
45.78,37.83
72.6,70.5
54.33,49.95
70.97,70.21
56.1,48.2
58.47,54.22
54.99,53.78
45.35,36.13
88.29,86.99
88.93,92.5
58.48,51.64
76.65,71.87
60.37,55.64
57.88,52.58
69.12,60.95
39,32.03
58.22,51.39
60.9,60.02
53.06,49.84
75.82,71.28
65.38,61.15
35.84,28.93
77.35,77.18
58.15,55.24
39.85,39.28
88.91,86.52
72.29,69.51
81.09,81.38
65.48,63.76
37.34,34.09
55.15,50.67
63.72,60.76
87.29,84.33
57.75,54.84
28.18,22.19
47.48,41.68
48.43,46.18
57.84,54.28
55.64,53.63
73.75,73.31
67.07,63.66
35,28.15
60.54,54.66
71.8,64.98
57.21,54.42
